cluster,segment_name,群體人數,群體比例,性別編平均(1比例),主要職稱,主要興趣
0,證照導向型,14,0.1473684210526315,0.1428571428571428,運務,商業語文
1,證照導向型,81,0.8526315789473684,0.1728395061728395,未標記,未標記
