model,model_type,feature,coef,p_value,odds_ratio
Model1B_課程Dummy模型,Logit近似MNL_regularized,職稱_業務,9.286106273459318e-09,,1.0000000092861063
Model1B_課程Dummy模型,Logit近似MNL_regularized,職稱_管理,5.4895238853900246e-08,,1.0000000548952404
Model1B_課程Dummy模型,Logit近似MNL_regularized,職稱_行政,1.2596625594686197e-08,,1.0000000125966255
Model1B_課程Dummy模型,Logit近似MNL_regularized,職稱_財會,1.823787700428284e-07,,1.0000001823787867
Model1B_課程Dummy模型,Logit近似MNL_regularized,職稱_運務,-1.838175330475784e-08,,0.9999999816182468
Model1B_課程Dummy模型,Logit近似MNL_regularized,職稱_非在職,-8.436367700716107e-08,,0.9999999156363264
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_中國大陸市場,3.479832465324732e-07,,1.000000347983307
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_企業管理,-7.427451092179651e-08,,0.9999999257254918
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_創意與服務,1.2894120443065708e-07,,1.0000001289412128
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_商業語文,1.3323443035399133e-07,,1.0000001332344393
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_商業談判與溝通,-2.048717442328568e-07,,0.9999997951282767
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_國貿實務,-3.1322268189897554e-08,,0.9999999686777324
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_國際市場,3.66585949552983e-07,,1.0000003665860169
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_專業證照,2.2874392346592825e-08,,1.0000000228743926
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_幸福人生,-3.71890766990829e-07,,0.9999996281093022
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_會員免費課程,-6.862450823269048e-08,,0.999999931375494
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_產業趨勢動態,-2.5398467014178665e-07,,0.999999746015362
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_網路電商,-2.398886796272357e-07,,0.9999997601113492
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_線上課程(影片),-1.844850049527749e-07,,0.999999815515012
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_線上課程(直播),9.79946183334311e-08,,1.000000097994623
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_財務會計,2.87507863361886e-07,,1.0000002875079046
Model1B_課程Dummy模型,Logit近似MNL_regularized,興趣_高階策略,-1.2415528459314182e-07,,0.9999998758447232
